Поле,Источник,Формула расчета / метод,Экономический смысл,Интерпретация результата
BHAR_CREATE_60,table_2_3_cbonds_create.xlsx,BHAR over trading days +1 to +60 after the creation / earliest mention date.,Долгосрочная сверхнормальная доходность после creation / earliest mention date.,Положительные значения означают последующее опережение рынка после creation / earliest mention date; отрицательные значения означают отставание от рынка.
BHAR_CREATE_120,table_2_3_cbonds_create.xlsx,BHAR over trading days +1 to +120 after the creation / earliest mention date.,Долгосрочная сверхнормальная доходность после creation / earliest mention date.,Положительные значения означают последующее опережение рынка после creation / earliest mention date; отрицательные значения означают отставание от рынка.
BHAR_CREATE_250,table_2_3_cbonds_create.xlsx,BHAR over trading days +1 to +250 after the creation / earliest mention date.,Долгосрочная сверхнормальная доходность после creation / earliest mention date.,Положительные значения означают последующее опережение рынка после creation / earliest mention date; отрицательные значения означают отставание от рынка.
CREATE_MODEL_TYPE,table_2_3_cbonds_create.xlsx,Stores the abnormal-return model used for the creation / earliest mention date panel.,Методологическая метка способа построения abnormal returns.,Экономически не интерпретируется; используется для прозрачности методики.
CREATE_ESTIMATION_OBS,table_2_3_cbonds_create.xlsx,Number of estimation-window observations used for the creation / earliest mention date panel.,Индикатор надёжности модели event study.,Higher values indicate more reliable estimation of expected returns.
CREATE_ROE,table_2_3_cbonds_create.xlsx,Прямое значение ROE в строке t=0 (или в первой доступной строке t>=0).,Рентабельность собственного капитала покупателя.,"В регрессии положительный коэффициент означает, что более прибыльные покупатели получают более сильную реакцию рынка; отрицательный коэффициент означает, что рынок менее благоприятно реагирует на сделки уже высокорентабельных фирм."
CREATE_ROA,table_2_3_cbonds_create.xlsx,Прямое значение ROA в строке t=0 (или в первой доступной строке t>=0).,Рентабельность активов покупателя.,"Положительный и значимый коэффициент означает, что более высокая операционная эффективность связана с более высокими CAR/BHAR; отрицательный — обратное."
CREATE_P_B,table_2_3_cbonds_create.xlsx,Прямое значение P/B в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно балансовой стоимости.,"Положительный коэффициент означает, что более высоко оценённые фирмы получают более сильную реакцию рынка; отрицательный — что инвесторы осторожнее относятся к сделкам уже дорого оценённых покупателей."
CREATE_P_E,table_2_3_cbonds_create.xlsx,Прямое значение P/E в строке t=0 (или в первой доступной строке t>=0).,Рыночная оценка относительно прибыли.,"Положительный коэффициент означает, что более высокие оценочные мультипликаторы связаны с более высокими CAR/BHAR; отрицательный означает, что рынок дисконтирует сделки уже дорогих компаний."
CREATE_TOTAL_ASSETS,table_2_3_cbonds_create.xlsx,Прямое значение Total Assets в строке t=0 (или в первой доступной строке t>=0).,Бухгалтерский размер покупателя по активам.,"Положительный коэффициент означает, что более крупные институты связаны с более сильными результатами; отрицательный — что большой размер связан с более слабой реакцией рынка."
CREATE_MARKET_CAP,table_2_3_cbonds_create.xlsx,Прямое значение Market Capitalization в строке t=0 (или в первой доступной строке t>=0).,Рыночный размер покупателя.,"Положительный коэффициент означает, что более крупные публичные покупатели получают более сильную реакцию; отрицательный — что инвесторы ожидают меньшего дополнительного эффекта от уже крупных игроков."
CREATE_LIQUIDITY_60D,table_2_3_cbonds_create.xlsx,Средний торговый объём за окно [-60;-1] относительно события.,Ликвидность акции до события.,"Отрицательный коэффициент означает, что более ликвидные акции демонстрируют более слабые abnormal reactions; положительный — что ликвидные акции реагируют сильнее."
CREATE_VOLATILITY_60D,table_2_3_cbonds_create.xlsx,std(security_return на окне [-60;-1]) * sqrt(252).,Годовая предсобытийная волатильность.,"Положительный коэффициент означает, что более рискованные акции демонстрируют более сильные abnormal reactions; отрицательный — что высоковолатильные акции реагируют слабее или более сглаженно."
